method,scenario_id,n_reps,scenario,N,n_X,sigma_x,ATE_est_mean,ATE_est_sd,ATE_true,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_true,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_true,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_true,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_true,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
dmavae,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.727991,0.194894,1.736200,-0.011728,0.193586,0.192972,,,,,,,1.086711,0.166119,1.160453,-0.077325,0.164844,0.181331,0.641280,0.134306,0.575747,0.065598,0.134431,0.148977,0.417194,0.092195,0.383832,0.033406,0.092258,0.097685
dmavae,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.744022,0.163318,1.732911,0.005929,0.162980,0.162271,,,,,,,1.153364,0.162716,1.157651,-0.009066,0.162805,0.162243,0.590657,0.099986,0.575260,0.014994,0.100029,0.100651,0.384243,0.059716,0.383507,0.000468,0.059730,0.059432
dmavae,5,100,N1000_nX10_sx2,1000,10,2.000000,1.896430,0.143088,1.746326,0.157155,0.139680,0.209793,,,,,,,1.177230,0.114249,1.170387,0.013633,0.111609,0.111883,0.719200,0.115492,0.575938,0.143522,0.115401,0.183801,0.475743,0.088956,0.383959,0.091958,0.088903,0.127597
dmavae,6,100,N4000_nX10_sx2,4000,10,2.000000,1.899261,0.096422,1.733835,0.163049,0.094696,0.188315,,,,,,,1.208718,0.089571,1.158115,0.048160,0.088376,0.100257,0.690542,0.080135,0.575720,0.114889,0.080085,0.139817,0.458416,0.054252,0.383813,0.074647,0.054215,0.092098
dmavae,7,100,N1000_nX200_sx2,1000,200,2.000000,1.722419,0.195336,1.697581,-0.016693,0.192903,0.192661,,,,,,,1.088429,0.184009,1.122311,-0.075034,0.180720,0.194842,0.633990,0.123707,0.575270,0.058342,0.123659,0.136170,0.412667,0.087308,0.383513,0.028902,0.087290,0.091535
dmavae,8,100,N4000_nX200_sx2,4000,200,2.000000,1.765112,0.147957,1.728913,0.028884,0.148737,0.150784,,,,,,,1.144576,0.154538,1.152902,-0.015968,0.154924,0.154973,0.620536,0.097986,0.576012,0.044853,0.097975,0.107307,0.408679,0.063207,0.384008,0.024890,0.063191,0.067622
dml,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.644414,0.124002,1.710150,-0.095019,0.122191,0.154304,1.291381,0.089897,1.326432,-0.064228,0.088146,0.108707,1.104128,0.093357,1.134572,-0.059568,0.091700,0.108964,0.540286,0.115422,0.575578,-0.035451,0.115522,0.120286,0.353033,0.074059,0.383719,-0.030791,0.074111,0.079910
dml,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.620818,0.062981,1.743241,-0.116827,0.064608,0.133346,1.272296,0.046987,1.359143,-0.081570,0.048855,0.094956,1.090902,0.045455,1.167094,-0.071075,0.046975,0.085066,0.529916,0.053161,0.576147,-0.045752,0.053177,0.069948,0.348522,0.035607,0.384098,-0.035257,0.035604,0.049981
dml,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.608980,0.111983,1.736200,-0.130739,0.114476,0.173396,1.258752,0.088763,1.352369,-0.097178,0.091455,0.133132,1.067782,0.085726,1.160453,-0.096254,0.088169,0.130234,0.541198,0.102180,0.575747,-0.034484,0.102290,0.107461,0.350227,0.069008,0.383832,-0.033561,0.069065,0.076476
dml,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.593738,0.057382,1.732911,-0.144355,0.056998,0.155095,1.260702,0.042616,1.349404,-0.093615,0.042148,0.102580,1.078708,0.041990,1.157651,-0.083722,0.041236,0.093235,0.515030,0.047892,0.575260,-0.060633,0.047877,0.077108,0.333036,0.032535,0.383507,-0.050739,0.032518,0.060177
dml,5,100,N1000_nX10_sx2,1000,10,2.000000,1.756459,0.127629,1.746326,0.017184,0.126529,0.127062,1.352181,0.096796,1.362367,-0.003309,0.096060,0.095636,1.171778,0.105563,1.170387,0.008181,0.104349,0.104148,0.584680,0.116783,0.575938,0.009003,0.116787,0.116549,0.404278,0.094040,0.383959,0.020493,0.094029,0.095776
dml,6,100,N4000_nX10_sx2,4000,10,2.000000,1.762488,0.061867,1.733835,0.026277,0.061385,0.066490,1.366357,0.042395,1.350021,0.013914,0.041629,0.043695,1.160206,0.044296,1.158115,-0.000352,0.043216,0.043000,0.602282,0.058604,0.575720,0.026629,0.058556,0.064059,0.396132,0.038732,0.383813,0.012363,0.038690,0.040433
dml,7,100,N1000_nX200_sx2,1000,200,2.000000,1.610096,0.114860,1.697581,-0.129016,0.113619,0.171538,1.257841,0.087971,1.314068,-0.097505,0.087751,0.130883,1.075696,0.080376,1.122311,-0.087766,0.080746,0.118986,0.534400,0.103915,0.575270,-0.041249,0.103847,0.111256,0.352255,0.072641,0.383513,-0.031511,0.072648,0.078853
dml,8,100,N4000_nX200_sx2,4000,200,2.000000,1.611478,0.059025,1.728913,-0.124750,0.059094,0.137912,1.264298,0.044597,1.344906,-0.088141,0.045045,0.098882,1.077008,0.045560,1.152902,-0.083536,0.045284,0.094913,0.534469,0.051725,0.576012,-0.041214,0.051657,0.065882,0.347180,0.034655,0.384008,-0.036609,0.034611,0.050261
dml_oracle,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.748422,0.124186,1.710150,0.008989,0.121376,0.121102,1.361952,0.080548,1.326432,0.006343,0.077620,0.077491,1.170523,0.079060,1.134572,0.006827,0.077047,0.076965,0.577899,0.112380,0.575578,0.002162,0.112493,0.111950,0.386470,0.078407,0.383719,0.002646,0.078475,0.078127
dml_oracle,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.735203,0.063123,1.743241,-0.002442,0.065050,0.064770,1.349941,0.043040,1.359143,-0.003926,0.045489,0.045431,1.159586,0.039051,1.167094,-0.002391,0.041322,0.041184,0.575618,0.053537,0.576147,-0.000051,0.053537,0.053269,0.385262,0.037508,0.384098,0.001483,0.037500,0.037341
dml_oracle,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.740780,0.103396,1.736200,0.001062,0.106676,0.106146,1.344744,0.070100,1.352369,-0.011186,0.072906,0.073398,1.145168,0.075595,1.160453,-0.018868,0.077797,0.079674,0.595612,0.109031,0.575747,0.019930,0.109165,0.110431,0.396036,0.071371,0.383832,0.012248,0.071418,0.072108
dml_oracle,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.735303,0.053392,1.732911,-0.002790,0.052663,0.052473,1.355349,0.037868,1.349404,0.001032,0.036895,0.036725,1.161652,0.037757,1.157651,-0.000778,0.036542,0.036367,0.573651,0.049652,0.575260,-0.002012,0.049644,0.049436,0.379954,0.033320,0.383507,-0.003821,0.033295,0.033347
dml_oracle,5,100,N1000_nX10_sx2,1000,10,2.000000,1.721648,0.112651,1.746326,-0.017627,0.110265,0.111120,1.337453,0.073251,1.362367,-0.018037,0.071039,0.072948,1.143308,0.073226,1.170387,-0.020289,0.071306,0.073793,0.578340,0.103570,0.575938,0.002662,0.103533,0.103048,0.384195,0.078269,0.383959,0.000410,0.078248,0.077857
dml_oracle,6,100,N4000_nX10_sx2,4000,10,2.000000,1.742459,0.054000,1.733835,0.006247,0.053634,0.053730,1.350826,0.033624,1.350021,-0.001617,0.032819,0.032694,1.156677,0.034918,1.158115,-0.003881,0.033847,0.033900,0.585782,0.054828,0.575720,0.010129,0.054776,0.055434,0.391634,0.036730,0.383813,0.007865,0.036693,0.037347
dml_oracle,7,100,N1000_nX200_sx2,1000,200,2.000000,1.738865,0.105634,1.697581,-0.000246,0.106105,0.105574,1.355403,0.075424,1.314068,0.000057,0.076123,0.075742,1.157168,0.073627,1.122311,-0.006295,0.073945,0.073843,0.581697,0.092740,0.575270,0.006049,0.092655,0.092388,0.383462,0.067227,0.383513,-0.000304,0.067207,0.066871
dml_oracle,8,100,N4000_nX200_sx2,4000,200,2.000000,1.743764,0.054264,1.728913,0.007536,0.054136,0.054389,1.352697,0.039780,1.344906,0.000258,0.039700,0.039502,1.158244,0.039056,1.152902,-0.002300,0.038476,0.038352,0.585520,0.049022,0.576012,0.009836,0.048966,0.049703,0.391067,0.033043,0.384008,0.007278,0.033000,0.033632
lsem,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.622337,0.123929,1.710150,-0.117095,0.121982,0.168648,1.181885,0.083707,1.326432,-0.173723,0.081615,0.191766,1.181885,0.083707,1.134572,0.018189,0.081614,0.083217,0.440452,0.089835,0.575578,-0.135285,0.089915,0.162191,0.440452,0.089835,0.383719,0.056628,0.089888,0.105857
lsem,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.607095,0.063384,1.743241,-0.130550,0.064913,0.145653,1.170898,0.043401,1.359143,-0.182968,0.045136,0.188399,1.170898,0.043401,1.167094,0.008921,0.045111,0.045763,0.436197,0.044732,0.576147,-0.139471,0.044740,0.146403,0.436197,0.044732,0.384098,0.052418,0.044737,0.068768
lsem,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.585435,0.122347,1.736200,-0.154283,0.124241,0.197699,1.147867,0.094416,1.352369,-0.208064,0.095729,0.228829,1.147867,0.094416,1.160453,-0.016170,0.095725,0.096608,0.437569,0.096419,0.575747,-0.138113,0.096527,0.168225,0.437569,0.096419,0.383832,0.053781,0.096491,0.110044
lsem,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.582163,0.060935,1.732911,-0.155930,0.060829,0.167264,1.159490,0.042803,1.349404,-0.194827,0.042279,0.199317,1.159490,0.042803,1.157651,-0.002940,0.042269,0.042159,0.422673,0.042705,0.575260,-0.152990,0.042700,0.158780,0.422673,0.042705,0.383507,0.038898,0.042701,0.057604
lsem,5,100,N1000_nX10_sx2,1000,10,2.000000,1.737273,0.119281,1.746326,-0.002002,0.117049,0.116479,1.245599,0.076887,1.362367,-0.109891,0.075162,0.132925,1.245599,0.076887,1.170387,0.082001,0.075174,0.110990,0.491675,0.089982,0.575938,-0.084003,0.089933,0.122734,0.491675,0.089982,0.383959,0.107890,0.089949,0.140179
lsem,6,100,N4000_nX10_sx2,4000,10,2.000000,1.745131,0.061339,1.733835,0.008919,0.060813,0.061162,1.251116,0.041003,1.350021,-0.101327,0.039858,0.108811,1.251116,0.041003,1.158115,0.090558,0.039837,0.098853,0.494015,0.046523,0.575720,-0.081639,0.046472,0.093824,0.494015,0.046523,0.383813,0.110246,0.046488,0.119556
lsem,7,100,N1000_nX200_sx2,1000,200,2.000000,1.578379,0.116044,1.697581,-0.160732,0.115979,0.197867,1.147557,0.085610,1.314068,-0.207788,0.086596,0.224944,1.147557,0.085610,1.122311,-0.015905,0.086585,0.087607,0.430822,0.081801,0.575270,-0.144827,0.081764,0.166113,0.430822,0.081801,0.383513,0.047056,0.081776,0.093993
lsem,8,100,N4000_nX200_sx2,4000,200,2.000000,1.597396,0.056285,1.728913,-0.138832,0.056277,0.149699,1.158699,0.041915,1.344906,-0.193740,0.041888,0.198172,1.158699,0.041915,1.152902,-0.001845,0.041889,0.041720,0.438697,0.039549,0.576012,-0.136986,0.039485,0.142509,0.438697,0.039549,0.384008,0.054908,0.039506,0.067528
lsem_i,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.624299,0.124117,1.710150,-0.115133,0.122238,0.167477,1.275358,0.085675,1.326432,-0.080251,0.083836,0.115752,1.093947,0.088018,1.134572,-0.069750,0.086184,0.110537,0.530353,0.108653,0.575578,-0.045384,0.108734,0.117322,0.348942,0.071989,0.383719,-0.034882,0.072041,0.079717
lsem_i,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.610043,0.063258,1.743241,-0.127603,0.064808,0.142970,1.264517,0.045100,1.359143,-0.089349,0.046846,0.100777,1.084889,0.043237,1.167094,-0.077088,0.044946,0.089121,0.525154,0.052985,0.576147,-0.050514,0.052997,0.073022,0.345525,0.036350,0.384098,-0.038253,0.036357,0.052649
lsem_i,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.587190,0.122220,1.736200,-0.152529,0.123981,0.196170,1.238228,0.095560,1.352369,-0.117702,0.096743,0.152051,1.062653,0.098782,1.160453,-0.101384,0.099755,0.141881,0.524537,0.113295,0.575747,-0.051145,0.113400,0.123882,0.348962,0.081123,0.383832,-0.034826,0.081193,0.087973
lsem_i,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.585428,0.061053,1.732911,-0.152665,0.060918,0.164257,1.250995,0.044423,1.349404,-0.103322,0.043896,0.112174,1.075155,0.043408,1.157651,-0.087275,0.042742,0.097085,0.510273,0.051946,0.575260,-0.065390,0.051945,0.083350,0.334433,0.034437,0.383507,-0.049343,0.034431,0.060070
lsem_i,5,100,N1000_nX10_sx2,1000,10,2.000000,1.738993,0.119385,1.746326,-0.000282,0.117135,0.116549,1.348066,0.079292,1.362367,-0.007424,0.077273,0.077243,1.146937,0.081185,1.170387,-0.016660,0.079596,0.080930,0.592056,0.106638,0.575938,0.016378,0.106590,0.107313,0.390927,0.076064,0.383959,0.007142,0.076034,0.075989
lsem_i,6,100,N4000_nX10_sx2,4000,10,2.000000,1.747258,0.061598,1.733835,0.011046,0.061084,0.061773,1.354857,0.043315,1.350021,0.002415,0.042243,0.042100,1.153530,0.043442,1.158115,-0.007028,0.042317,0.042687,0.593727,0.057182,0.575720,0.018074,0.057133,0.059650,0.392400,0.036185,0.383813,0.008631,0.036153,0.036993
lsem_i,7,100,N1000_nX200_sx2,1000,200,2.000000,1.582423,0.114452,1.697581,-0.156689,0.114630,0.193804,1.241302,0.086353,1.314068,-0.114043,0.087501,0.143477,1.065339,0.087049,1.122311,-0.098123,0.088368,0.131754,0.517083,0.099013,0.575270,-0.058565,0.098969,0.114572,0.341121,0.066041,0.383513,-0.042645,0.066037,0.078332
lsem_i,8,100,N4000_nX200_sx2,4000,200,2.000000,1.599943,0.056704,1.728913,-0.136285,0.056687,0.147495,1.252974,0.043182,1.344906,-0.099465,0.043186,0.108349,1.070262,0.042393,1.152902,-0.090283,0.042342,0.099629,0.529681,0.047294,0.576012,-0.046003,0.047235,0.065765,0.346968,0.032176,0.384008,-0.036821,0.032131,0.048763
lsem_i_oracle,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.747321,0.119415,1.710150,0.007888,0.117322,0.117000,1.361353,0.077123,1.326432,0.005745,0.075073,0.074917,1.165823,0.074145,1.134572,0.002127,0.072612,0.072279,0.581497,0.107356,0.575578,0.005761,0.107428,0.107045,0.385967,0.073955,0.383719,0.002143,0.074004,0.073664
lsem_i_oracle,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.734258,0.063413,1.743241,-0.003388,0.065144,0.064906,1.351747,0.041372,1.359143,-0.002119,0.043573,0.043407,1.157188,0.037732,1.167094,-0.004789,0.039918,0.040006,0.577069,0.053328,0.576147,0.001401,0.053330,0.053081,0.382510,0.037247,0.384098,-0.001269,0.037246,0.037081
lsem_i_oracle,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.744278,0.108087,1.736200,0.004559,0.111019,0.110556,1.347682,0.074941,1.352369,-0.008249,0.077605,0.077655,1.149498,0.073698,1.160453,-0.014538,0.075768,0.076778,0.594780,0.102859,0.575747,0.019098,0.102984,0.104232,0.396596,0.072726,0.383832,0.012808,0.072800,0.073558
lsem_i_oracle,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.735675,0.053886,1.732911,-0.002418,0.053188,0.052976,1.357166,0.036196,1.349404,0.002849,0.035034,0.034975,1.161902,0.035470,1.157651,-0.000528,0.034246,0.034079,0.573772,0.051195,0.575260,-0.001891,0.051181,0.050960,0.378509,0.033817,0.383507,-0.005267,0.033800,0.034040
lsem_i_oracle,5,100,N1000_nX10_sx2,1000,10,2.000000,1.720974,0.114092,1.746326,-0.018301,0.111349,0.112293,1.339860,0.071018,1.362367,-0.015630,0.068594,0.070017,1.141182,0.071970,1.170387,-0.022415,0.069722,0.072904,0.579792,0.109033,0.575938,0.004114,0.108966,0.108498,0.381114,0.075514,0.383959,-0.002671,0.075466,0.075135
lsem_i_oracle,6,100,N4000_nX10_sx2,4000,10,2.000000,1.740281,0.053316,1.733835,0.004069,0.053058,0.052949,1.352350,0.033265,1.350021,-0.000093,0.032331,0.032170,1.155587,0.034140,1.158115,-0.004971,0.033331,0.033534,0.584693,0.054611,0.575720,0.009040,0.054566,0.055040,0.387931,0.035266,0.383813,0.004162,0.035239,0.035308
lsem_i_oracle,7,100,N1000_nX200_sx2,1000,200,2.000000,1.735507,0.098586,1.697581,-0.003604,0.098572,0.098144,1.352679,0.069347,1.314068,-0.002667,0.070021,0.069721,1.156126,0.066366,1.122311,-0.007337,0.066838,0.066906,0.579382,0.088093,0.575270,0.003733,0.088006,0.087644,0.382829,0.060386,0.383513,-0.000937,0.060354,0.060059
lsem_i_oracle,8,100,N4000_nX200_sx2,4000,200,2.000000,1.741622,0.054598,1.728913,0.005394,0.054494,0.054489,1.353994,0.038018,1.344906,0.001555,0.037866,0.037708,1.155629,0.038160,1.152902,-0.004916,0.037736,0.037867,0.585994,0.049118,0.576012,0.010310,0.049063,0.049894,0.387628,0.032650,0.384008,0.003840,0.032610,0.032673
lsem_oracle,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.747561,0.119260,1.710150,0.008128,0.117126,0.116822,1.263029,0.072161,1.326432,-0.092579,0.070092,0.115908,1.263029,0.072161,1.134572,0.099333,0.070106,0.121379,0.484532,0.090218,0.575578,-0.091204,0.090290,0.128020,0.484532,0.090218,0.383719,0.100708,0.090266,0.134939
lsem_oracle,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.733608,0.063295,1.743241,-0.004037,0.065005,0.064805,1.253024,0.038706,1.359143,-0.100843,0.040912,0.108749,1.253024,0.038706,1.167094,0.091047,0.040880,0.099719,0.480584,0.045487,0.576147,-0.095084,0.045485,0.105305,0.480584,0.045487,0.384098,0.096805,0.045485,0.106862
lsem_oracle,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.743590,0.107961,1.736200,0.003872,0.110924,0.110436,1.246924,0.073486,1.352369,-0.109006,0.075948,0.132637,1.246924,0.073486,1.160453,0.082888,0.075946,0.112163,0.496666,0.087241,0.575747,-0.079016,0.087365,0.117473,0.496666,0.087241,0.383832,0.112878,0.087323,0.142445
lsem_oracle,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.734815,0.053767,1.732911,-0.003278,0.053112,0.052948,1.258377,0.034538,1.349404,-0.095941,0.033443,0.101547,1.258377,0.034538,1.157651,0.095947,0.033433,0.101550,0.476438,0.041852,0.575260,-0.099225,0.041833,0.107602,0.476438,0.041852,0.383507,0.092663,0.041839,0.101584
lsem_oracle,5,100,N1000_nX10_sx2,1000,10,2.000000,1.720541,0.114414,1.746326,-0.018733,0.111693,0.112701,1.240103,0.068004,1.362367,-0.115387,0.065748,0.132641,1.240103,0.068004,1.170387,0.076506,0.065761,0.100669,0.480439,0.091047,0.575938,-0.095239,0.090975,0.131393,0.480439,0.091047,0.383959,0.096654,0.090999,0.132438
lsem_oracle,6,100,N4000_nX10_sx2,4000,10,2.000000,1.740088,0.052912,1.733835,0.003876,0.052630,0.052509,1.253066,0.031435,1.350021,-0.099377,0.030520,0.103913,1.253066,0.031435,1.158115,0.092507,0.030495,0.097356,0.487022,0.044808,0.575720,-0.088632,0.044763,0.099193,0.487022,0.044808,0.383813,0.103253,0.044778,0.112455
lsem_oracle,7,100,N1000_nX200_sx2,1000,200,2.000000,1.735271,0.099411,1.697581,-0.003841,0.099435,0.099011,1.252400,0.065540,1.314068,-0.102946,0.066307,0.122272,1.252400,0.065540,1.122311,0.088937,0.066310,0.110738,0.482871,0.073270,0.575270,-0.092778,0.073188,0.117943,0.482871,0.073270,0.383513,0.099105,0.073215,0.122998
lsem_oracle,8,100,N4000_nX200_sx2,4000,200,2.000000,1.740861,0.054009,1.728913,0.004633,0.053860,0.053790,1.253682,0.037205,1.344906,-0.098757,0.036829,0.105337,1.253682,0.037205,1.152902,0.093137,0.036828,0.100086,0.487180,0.040624,0.576012,-0.088504,0.040565,0.097272,0.487180,0.040624,0.384008,0.103391,0.040584,0.110997
