method,scenario_id,scenario,rep,N,n_X,sigma_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,N1000_nX10_sx0.7,28,1000,10,0.700000,1.799343,1.236752,1.236752,0.562591,0.562591,1.747366,1.363169,1.171071,0.576295,0.384197,0.051977,-0.126417,0.065681,-0.013704,0.178394,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,29,1000,10,0.700000,1.712852,1.290498,1.290498,0.422354,0.422354,1.707824,1.323833,1.131838,0.575986,0.383991,0.005028,-0.033335,0.158660,-0.153632,0.038363,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,30,1000,10,0.700000,1.503276,1.054887,1.054887,0.448389,0.448389,1.746042,1.362746,1.171097,0.574944,0.383296,-0.242766,-0.307858,-0.116210,-0.126556,0.065092,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,31,1000,10,0.700000,1.360189,1.124532,1.124532,0.235657,0.235657,1.741106,1.357211,1.165264,0.575842,0.383895,-0.380916,-0.232679,-0.040731,-0.340185,-0.148238,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,32,1000,10,0.700000,1.534472,1.176592,1.176592,0.357880,0.357880,1.730363,1.346925,1.155206,0.575157,0.383438,-0.195891,-0.170333,0.021386,-0.217277,-0.025558,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,33,1000,10,0.700000,1.428644,1.056858,1.056858,0.371786,0.371786,1.714344,1.330765,1.138975,0.575368,0.383579,-0.285700,-0.273907,-0.082118,-0.203582,-0.011793,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,34,1000,10,0.700000,1.438993,1.061590,1.061590,0.377403,0.377403,1.733270,1.349511,1.157632,0.575637,0.383758,-0.294277,-0.287921,-0.096042,-0.198235,-0.006355,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,35,1000,10,0.700000,1.590282,1.200016,1.200016,0.390266,0.390266,1.741823,1.357522,1.165371,0.576452,0.384302,-0.151541,-0.157505,0.034646,-0.186186,0.005964,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,36,1000,10,0.700000,1.636569,1.141041,1.141041,0.495528,0.495528,1.728676,1.344344,1.152177,0.576499,0.384333,-0.092107,-0.203303,-0.011136,-0.080971,0.111195,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,37,1000,10,0.700000,1.561308,1.147656,1.147656,0.413652,0.413652,1.718480,1.334604,1.142666,0.575815,0.383876,-0.157172,-0.186948,0.004990,-0.162163,0.029776,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,38,1000,10,0.700000,1.697621,1.177589,1.177589,0.520032,0.520032,1.734769,1.351496,1.159859,0.574910,0.383273,-0.037148,-0.173907,0.017730,-0.054878,0.136759,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,39,1000,10,0.700000,1.502297,1.177025,1.177025,0.325272,0.325272,1.727254,1.343254,1.151254,0.576000,0.384000,-0.224956,-0.166228,0.025772,-0.250728,-0.058728,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,40,1000,10,0.700000,1.540537,1.243434,1.243434,0.297103,0.297103,1.722795,1.338460,1.146293,0.576503,0.384335,-0.182258,-0.095026,0.097142,-0.279400,-0.087232,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,41,1000,10,0.700000,1.570170,1.174730,1.174730,0.395440,0.395440,1.716063,1.331423,1.139103,0.576960,0.384640,-0.145893,-0.156693,0.035627,-0.181520,0.010800,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,42,1000,10,0.700000,1.518520,1.138517,1.138517,0.380003,0.380003,1.743152,1.358865,1.166721,0.576432,0.384288,-0.224632,-0.220347,-0.028203,-0.196429,-0.004285,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,43,1000,10,0.700000,1.631484,1.284558,1.284558,0.346926,0.346926,1.773132,1.389035,1.196986,0.576146,0.384097,-0.141647,-0.104477,0.087572,-0.229219,-0.037171,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,44,1000,10,0.700000,1.748053,1.327139,1.327139,0.420914,0.420914,1.758608,1.374400,1.182296,0.576312,0.384208,-0.010555,-0.047261,0.144843,-0.155399,0.036706,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,45,1000,10,0.700000,1.540638,1.189960,1.189960,0.350677,0.350677,1.725238,1.342212,1.150698,0.574540,0.383026,-0.184600,-0.152251,0.039262,-0.223862,-0.032349,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,46,1000,10,0.700000,1.498203,1.146749,1.146749,0.351454,0.351454,1.737106,1.353227,1.161288,0.575818,0.383879,-0.238903,-0.206478,-0.014539,-0.224364,-0.032425,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,47,1000,10,0.700000,1.652912,1.288285,1.288285,0.364627,0.364627,1.760654,1.377087,1.185303,0.575351,0.383567,-0.107742,-0.088802,0.102982,-0.210724,-0.018941,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,48,1000,10,0.700000,1.487922,1.034382,1.034382,0.453540,0.453540,1.750401,1.366346,1.174319,0.576082,0.384054,-0.262478,-0.331964,-0.139937,-0.122541,0.069486,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,49,1000,10,0.700000,1.490751,1.148046,1.148046,0.342706,0.342706,1.778127,1.394043,1.202001,0.576126,0.384084,-0.287375,-0.245997,-0.053955,-0.233420,-0.041378,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,50,1000,10,0.700000,1.950285,1.364216,1.364216,0.586069,0.586069,1.754742,1.370111,1.177796,0.576946,0.384630,0.195543,-0.005895,0.186420,0.009123,0.201439,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,51,1000,10,0.700000,1.687238,1.114638,1.114638,0.572599,0.572599,1.719864,1.336703,1.145122,0.574742,0.383162,-0.032626,-0.222064,-0.030484,-0.002143,0.189438,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,52,1000,10,0.700000,1.591701,1.164434,1.164434,0.427267,0.427267,1.724149,1.340118,1.148102,0.576047,0.384031,-0.132448,-0.175684,0.016332,-0.148780,0.043236,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,53,1000,10,0.700000,1.424141,1.039927,1.039927,0.384214,0.384214,1.728144,1.344408,1.152540,0.575604,0.383736,-0.304003,-0.304481,-0.112613,-0.191390,0.000478,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,54,1000,10,0.700000,1.581191,1.092107,1.092107,0.489084,0.489084,1.748295,1.364033,1.171901,0.576393,0.384262,-0.167104,-0.271925,-0.079794,-0.087309,0.104822,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,55,1000,10,0.700000,1.556216,1.190412,1.190412,0.365803,0.365803,1.736574,1.352497,1.160459,0.576115,0.384077,-0.180358,-0.162085,0.029954,-0.210312,-0.018273,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,56,1000,10,0.700000,1.727689,1.355708,1.355708,0.371981,0.371981,1.754872,1.371265,1.179462,0.575410,0.383607,-0.027184,-0.015558,0.176246,-0.203429,-0.011626,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,57,1000,10,0.700000,1.700492,1.170804,1.170804,0.529688,0.529688,1.752003,1.368335,1.176500,0.575503,0.383669,-0.051512,-0.197531,-0.005697,-0.045815,0.146019,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,58,1000,10,0.700000,1.741944,1.247305,1.247305,0.494639,0.494639,1.772853,1.389299,1.197522,0.575331,0.383554,-0.030909,-0.141993,0.049784,-0.080692,0.111085,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,59,1000,10,0.700000,1.688216,1.229679,1.229679,0.458538,0.458538,1.754291,1.370444,1.178521,0.575769,0.383846,-0.066074,-0.140766,0.051157,-0.117231,0.074692,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,60,1000,10,0.700000,1.414852,1.096704,1.096704,0.318148,0.318148,1.733178,1.348893,1.156751,0.576427,0.384284,-0.318326,-0.252189,-0.060047,-0.258279,-0.066137,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,61,1000,10,0.700000,1.697522,1.279862,1.279862,0.417660,0.417660,1.756624,1.373258,1.181576,0.575048,0.383365,-0.059102,-0.093396,0.098287,-0.157388,0.034294,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,62,1000,10,0.700000,1.856998,1.216049,1.216049,0.640949,0.640949,1.739658,1.355778,1.163838,0.575820,0.383880,0.117340,-0.139729,0.052211,0.065130,0.257070,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,63,1000,10,0.700000,1.542812,1.071510,1.071510,0.471302,0.471302,1.753833,1.370171,1.178341,0.575492,0.383661,-0.211021,-0.298661,-0.106830,-0.104190,0.087640,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,64,1000,10,0.700000,1.732108,1.237815,1.237815,0.494293,0.494293,1.740022,1.355973,1.163949,0.576073,0.384049,-0.007914,-0.118158,0.073866,-0.081780,0.110244,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,65,1000,10,0.700000,1.446893,1.133285,1.133285,0.313608,0.313608,1.721109,1.337317,1.145421,0.575688,0.383792,-0.274216,-0.204032,-0.012136,-0.262080,-0.070184,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,66,1000,10,0.700000,1.547101,1.062265,1.062265,0.484836,0.484836,1.742540,1.358337,1.166236,0.576303,0.384202,-0.195439,-0.296072,-0.103971,-0.091468,0.100633,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,67,1000,10,0.700000,1.706361,1.006750,1.006750,0.699611,0.699611,1.728338,1.344658,1.152819,0.575520,0.383680,-0.021978,-0.337909,-0.146069,0.124091,0.315931,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,68,1000,10,0.700000,1.741210,1.190176,1.190176,0.551034,0.551034,1.704371,1.320964,1.129261,0.575110,0.383406,0.036839,-0.130788,0.060915,-0.024076,0.167627,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,69,1000,10,0.700000,1.514703,1.213728,1.213728,0.300975,0.300975,1.739837,1.356279,1.164500,0.575337,0.383558,-0.225134,-0.142551,0.049228,-0.274362,-0.082583,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,70,1000,10,0.700000,1.721338,1.241618,1.241618,0.479720,0.479720,1.754236,1.370648,1.178853,0.575382,0.383588,-0.032897,-0.129029,0.062765,-0.095662,0.096132,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,71,1000,10,0.700000,1.692968,1.132670,1.132670,0.560298,0.560298,1.739097,1.354843,1.162716,0.576382,0.384255,-0.046129,-0.222173,-0.030046,-0.016084,0.176043,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,72,1000,10,0.700000,1.761288,1.169037,1.169037,0.592251,0.592251,1.724159,1.340728,1.149012,0.575146,0.383431,0.037129,-0.171691,0.020024,0.017105,0.208820,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,73,1000,10,0.700000,1.646056,1.196267,1.196267,0.449790,0.449790,1.728996,1.345415,1.153624,0.575371,0.383581,-0.082939,-0.149148,0.042642,-0.125581,0.066209,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,74,1000,10,0.700000,1.675263,1.307002,1.307002,0.368261,0.368261,1.753889,1.369659,1.177544,0.576345,0.384230,-0.078626,-0.062657,0.129458,-0.208083,-0.015968,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,75,1000,10,0.700000,1.544182,1.031336,1.031336,0.512846,0.512846,1.748649,1.364744,1.172792,0.575856,0.383904,-0.204466,-0.333408,-0.141456,-0.063010,0.128942,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,76,1000,10,0.700000,1.753841,1.238632,1.238632,0.515209,0.515209,1.724317,1.341066,1.149441,0.574877,0.383251,0.029524,-0.102434,0.089191,-0.059668,0.131958,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,77,1000,10,0.700000,1.737872,1.174535,1.174535,0.563337,0.563337,1.743854,1.360532,1.168871,0.574983,0.383322,-0.005982,-0.185997,0.005664,-0.011646,0.180015,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,78,1000,10,0.700000,1.558401,1.181550,1.181550,0.376851,0.376851,1.711014,1.327383,1.135568,0.575447,0.383631,-0.152613,-0.145833,0.045983,-0.198596,-0.006780,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,79,1000,10,0.700000,1.746504,1.364931,1.364931,0.381574,0.381574,1.746259,1.362388,1.170453,0.575806,0.383870,0.000246,0.002542,0.194478,-0.194232,-0.002297,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,80,1000,10,0.700000,1.581799,1.255022,1.255022,0.326777,0.326777,1.769324,1.385367,1.193389,0.575936,0.383957,-0.187525,-0.130345,0.061634,-0.249158,-0.057180,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,81,1000,10,0.700000,1.758481,1.245703,1.245703,0.512778,0.512778,1.733972,1.349351,1.157041,0.576931,0.384621,0.024509,-0.103648,0.088662,-0.064153,0.128157,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,82,1000,10,0.700000,1.772236,1.244979,1.244979,0.527257,0.527257,1.773179,1.389319,1.197390,0.575789,0.383860,-0.000943,-0.144340,0.047589,-0.048532,0.143398,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,83,1000,10,0.700000,1.378031,1.016813,1.016813,0.361219,0.361219,1.733156,1.349015,1.156945,0.576211,0.384141,-0.355124,-0.332202,-0.140132,-0.214992,-0.022922,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,84,1000,10,0.700000,1.864187,1.333910,1.333910,0.530277,0.530277,1.724389,1.340632,1.148754,0.575635,0.383757,0.139798,-0.006722,0.185156,-0.045358,0.146520,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,85,1000,10,0.700000,1.676064,1.139206,1.139206,0.536858,0.536858,1.744699,1.361189,1.169435,0.575264,0.383510,-0.068635,-0.221984,-0.030229,-0.038406,0.153349,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,86,1000,10,0.700000,1.736914,1.154514,1.154514,0.582400,0.582400,1.735254,1.351224,1.159209,0.576045,0.384030,0.001661,-0.196710,-0.004695,0.006356,0.198371,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,87,1000,10,0.700000,1.638443,1.177561,1.177561,0.460881,0.460881,1.757436,1.373777,1.181947,0.575489,0.383659,-0.118994,-0.196216,-0.004386,-0.114608,0.077222,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,88,1000,10,0.700000,1.754201,1.206084,1.206084,0.548117,0.548117,1.761935,1.378032,1.186081,0.575854,0.383903,-0.007734,-0.171948,0.020003,-0.027737,0.164214,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,89,1000,10,0.700000,1.498485,1.140617,1.140617,0.357867,0.357867,1.732670,1.348657,1.156650,0.576019,0.384013,-0.234185,-0.208039,-0.016033,-0.218152,-0.026146,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,90,1000,10,0.700000,1.572518,1.227492,1.227492,0.345026,0.345026,1.748102,1.365047,1.173520,0.574582,0.383055,-0.175584,-0.137555,0.053972,-0.229556,-0.038029,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,91,1000,10,0.700000,1.524656,1.192424,1.192424,0.332231,0.332231,1.735571,1.351919,1.160093,0.575477,0.383652,-0.210915,-0.159495,0.032331,-0.243246,-0.051420,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,92,1000,10,0.700000,1.441900,0.998450,0.998450,0.443450,0.443450,1.713211,1.329554,1.137725,0.575487,0.383658,-0.271311,-0.331104,-0.139275,-0.132037,0.059792,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,93,1000,10,0.700000,1.660735,1.240494,1.240494,0.420241,0.420241,1.753201,1.369546,1.177718,0.575483,0.383655,-0.092466,-0.129052,0.062776,-0.155242,0.036586,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,94,1000,10,0.700000,1.336889,1.162670,1.162670,0.174219,0.174219,1.718923,1.335064,1.143134,0.575790,0.383860,-0.382035,-0.172394,0.019536,-0.401571,-0.209641,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,95,1000,10,0.700000,1.622570,1.272592,1.272592,0.349979,0.349979,1.729872,1.346253,1.154444,0.575427,0.383618,-0.107301,-0.073662,0.118147,-0.225449,-0.033639,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,96,1000,10,0.700000,1.771504,1.287341,1.287341,0.484163,0.484163,1.738674,1.354925,1.163050,0.575624,0.383749,0.032830,-0.067583,0.124291,-0.091461,0.100414,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,97,1000,10,0.700000,1.564960,1.128062,1.128062,0.436898,0.436898,1.727983,1.343798,1.151705,0.576278,0.384185,-0.163023,-0.215736,-0.023643,-0.139380,0.052713,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,98,1000,10,0.700000,1.809853,1.279036,1.279036,0.530818,0.530818,1.735139,1.351332,1.159428,0.575710,0.383807,0.074715,-0.072296,0.119607,-0.044893,0.147011,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,99,1000,10,0.700000,1.560842,1.190716,1.190716,0.370126,0.370126,1.750400,1.366560,1.174639,0.575761,0.383841,-0.189558,-0.175844,0.016077,-0.205635,-0.013715,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,100,1000,10,0.700000,1.653271,1.202745,1.202745,0.450525,0.450525,1.731094,1.347339,1.155461,0.575633,0.383755,-0.077823,-0.144594,0.047284,-0.125107,0.066770,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,1,1000,10,2.000000,1.781252,1.250442,1.250442,0.530810,0.530810,1.746326,1.362367,1.170387,0.575938,0.383959,0.034926,-0.111925,0.080055,-0.045128,0.146851,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,2,1000,10,2.000000,1.719403,1.130135,1.130135,0.589268,0.589268,1.740090,1.356403,1.164560,0.575531,0.383687,-0.020687,-0.226268,-0.034424,0.013737,0.205581,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,3,1000,10,2.000000,1.817226,1.166863,1.166863,0.650363,0.650363,1.724426,1.340853,1.149066,0.575360,0.383573,0.092800,-0.173990,0.017797,0.075003,0.266790,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,4,1000,10,2.000000,1.572823,1.270344,1.270344,0.302479,0.302479,1.726836,1.343800,1.152283,0.574554,0.383036,-0.154013,-0.073456,0.118062,-0.272075,-0.080557,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,5,1000,10,2.000000,1.859107,1.237866,1.237866,0.621242,0.621242,1.744147,1.360494,1.168667,0.575481,0.383654,0.114960,-0.122628,0.069199,0.045761,0.237588,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,6,1000,10,2.000000,1.831468,1.298055,1.298055,0.533413,0.533413,1.702036,1.318083,1.126106,0.575930,0.383953,0.129432,-0.020028,0.171948,-0.042516,0.149460,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,7,1000,10,2.000000,1.851246,1.399555,1.399555,0.451691,0.451691,1.750697,1.366832,1.174899,0.575797,0.383865,0.100549,0.032724,0.224656,-0.124107,0.067826,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,8,1000,10,2.000000,1.782554,1.181372,1.181372,0.601182,0.601182,1.747594,1.364070,1.172307,0.575287,0.383525,0.034960,-0.182697,0.009065,0.025895,0.217658,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,9,1000,10,2.000000,1.672506,1.207480,1.207480,0.465026,0.465026,1.721908,1.338843,1.147311,0.574597,0.383064,-0.049402,-0.131363,0.060169,-0.109571,0.081961,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,10,1000,10,2.000000,1.701499,1.271801,1.271801,0.429698,0.429698,1.741551,1.357899,1.166073,0.575478,0.383652,-0.040052,-0.086098,0.105728,-0.145780,0.046046,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,11,1000,10,2.000000,1.798747,1.362945,1.362945,0.435803,0.435803,1.740474,1.356867,1.165064,0.575411,0.383607,0.058273,0.006077,0.197881,-0.139608,0.052196,,,,,,
lsem_proxyX,5,N1000_nX10_sx2,12,1000,10,2.000000,1.849013,1.262103,1.262103,0.586910,0.586910,1.721213,1.337086,1.145023,0.576191,0.384127,0.127799,-0.074983,0.117080,0.010719,0.202783,,,,,,
